@relation doc-subject

@attribute filename numeric
@attribute clusterID numeric
@attribute Subject0 numeric
@attribute Subject1 numeric
@attribute Subject2 numeric
@attribute Subject3 numeric
@attribute Subject4 numeric
@attribute Subject5 numeric
@attribute Subject6 numeric
@attribute Subject7 numeric
@attribute Subject8 numeric
@attribute Subject9 numeric
@attribute Subject10 numeric
@attribute Subject11 numeric
@attribute Subject12 numeric
@attribute Subject13 numeric
@attribute Subject14 numeric

@data
4697,12,0.199232,0.000091,0.000093,0.675701,0.000002,0.000001,0.000006,0.025107,0.000014,0.000001,0,0.000036,0.045059,0,0.054658
4103,13,0.000159,0.100526,0.000025,0.000002,0.000304,0.105018,0.792506,0.000047,0,0.000041,0.000003,0.000101,0,0.000072,0.001194
3593,12,0.000012,0.476102,0.16564,0.001268,0.109145,0.000081,0.000007,0.001045,0,0.00009,0.236703,0.00043,0.000256,0.009218,0.000003
4303,12,0.218782,0.002777,0.068482,0.001323,0,0.000218,0,0,0,0.000457,0.001135,0.160847,0.545886,0,0.000091
3682,12,0,0,0,0,0,0.000008,0,0.999992,0,0,0,0,0,0,0
3754,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3568,12,0.000282,0.73549,0.000005,0.000001,0,0.00111,0,0,0.000001,0.064447,0.153976,0.030659,0.002992,0.010894,0.000143
4767,12,0.063756,0.00016,0,0.011293,0,0,0,0,0,0.001144,0.000002,0.044661,0.878976,0.000005,0.000003
3586,12,0.00011,0.096443,0.638853,0.000077,0.00008,0.000024,0,0.068914,0.000025,0.000001,0.011124,0.05428,0.000751,0.129018,0.000298
3831,12,0.002244,0.059709,0.000001,0.000143,0.00001,0,0,0,0.029417,0.162538,0.000035,0.730098,0.015805,0,0.000001
4796,12,0.583868,0.084946,0.110148,0.000009,0.000001,0.000001,0,0.00008,0.006269,0.174154,0.029531,0.010594,0.000217,0.000178,0.000003
3655,12,0.013147,0.264898,0.000012,0,0.000346,0.000045,0.000174,0,0.000002,0.477249,0.002392,0.007357,0.209371,0.01773,0.007277
3628,15,0,0,0,0,0.040595,0,0,0,0,0,0.959348,0,0,0.000057,0
4570,12,0.01149,0.081475,0.000003,0.000379,0.000004,0.005603,0.000949,0,0.000001,0.847212,0.000099,0.00995,0.01907,0.000133,0.023633
4466,15,0,0,0,0,0.014004,0.000008,0,0,0,0,0.98542,0.000082,0,0.000486,0
4727,12,0,0,0.092803,0,0.00019,0,0,0.000008,0,0,0.000001,0.906341,0.00052,0.000137,0
3592,12,0.007227,0.044842,0.002793,0.000032,0.035746,0.00013,0.036353,0.000001,0.000116,0.031171,0.000004,0.000008,0.000036,0.000003,0.841539
4418,12,0.000001,0,0.000089,0.000001,0,0,0,0.842469,0.000043,0,0.157397,0,0,0,0
4646,12,0.000002,0,0,0.848672,0,0,0,0.021994,0,0,0.000003,0.031977,0.003397,0.000004,0.093951
