@relation doc-subject

@attribute filename numeric
@attribute Subject0 numeric
@attribute Subject1 numeric
@attribute Subject2 numeric
@attribute Subject3 numeric
@attribute Subject4 numeric
@attribute Subject5 numeric
@attribute Subject6 numeric
@attribute Subject7 numeric
@attribute Subject8 numeric
@attribute Subject9 numeric
@attribute Subject10 numeric
@attribute Subject11 numeric
@attribute Subject12 numeric
@attribute Subject13 numeric
@attribute Subject14 numeric

@data
157,0.000346,0.066564,0.015307,0.000137,0.169563,0.000002,0.326295,0.039086,0.000145,0.021812,0.170055,0.001859,0.188401,0.000391,0.000036
835,0.021321,0.006168,0.213295,0.046102,0.016889,0.071691,0.000104,0.000394,0.009662,0.010664,0.198031,0.005742,0.000489,0.121061,0.278388
614,0.000043,0.000001,0.000006,0,0.06091,0,0.000004,0.291931,0.096948,0.000046,0.171954,0.000003,0.032626,0.345528,0
732,0.384562,0.000669,0.285732,0.000002,0.000034,0,0.008325,0.024322,0,0,0.000355,0.28396,0.000011,0.012008,0.00002
832,0.264942,0,0.001363,0.183833,0.175718,0.20846,0,0.065273,0.000059,0.001975,0.084995,0.006009,0.006148,0.000526,0.0007
511,0.013393,0.000002,0.307249,0.000003,0.040529,0,0.000002,0.000001,0.258896,0.000007,0.092018,0.206272,0.08084,0.00014,0.00065
52,0.239026,0.00008,0.336637,0.000003,0.000536,0.000203,0.001911,0.078051,0.016803,0.000014,0.012361,0.021752,0.100366,0.192258,0
255,0.370155,0,0.038331,0.000004,0.099031,0.005823,0.009668,0.136597,0.136982,0.000021,0.143409,0.000019,0.000546,0.059413,0
231,0.001176,0.000208,0.006082,0.000027,0.279629,0.000684,0.152308,0.039139,0.007271,0.00318,0.066622,0.00961,0.121268,0.309324,0.003471
90,0.000002,0,0.011976,0.151329,0.156714,0.138696,0.006712,0.000098,0.024483,0.192459,0.317238,0.000001,0.000255,0,0.000038
2493,0.048919,0.050986,0.000783,0.000001,0.106484,0.000081,0.031482,0.000031,0,0.000256,0.240289,0.096724,0.112373,0.280467,0.031123
161,0.023673,0.155415,0.00416,0,0.175627,0.002821,0.112951,0.000111,0.019467,0,0.209742,0.005725,0.077987,0.121388,0.090934
540,0.091918,0.000008,0.001284,0,0.166154,0,0,0.000019,0.000046,0.003067,0.261816,0.000003,0.46273,0.012952,0.000001
