@relation doc-subject

@attribute filename numeric
@attribute clusterID numeric
@attribute Subject0 numeric
@attribute Subject1 numeric
@attribute Subject2 numeric
@attribute Subject3 numeric
@attribute Subject4 numeric
@attribute Subject5 numeric
@attribute Subject6 numeric
@attribute Subject7 numeric
@attribute Subject8 numeric
@attribute Subject9 numeric
@attribute Subject10 numeric
@attribute Subject11 numeric
@attribute Subject12 numeric
@attribute Subject13 numeric
@attribute Subject14 numeric

@data
2981,1,0,0,0.000033,0,0,0.0004,0.976284,0,0.001203,0.006943,0.015009,0.000006,0,0.000121,0
3027,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3472,0,0,0,0.998628,0,0,0,0.001371,0,0,0,0,0,0,0,0
3345,4,0.222553,0,0,0.000064,0,0.016282,0.001085,0.005917,0.011935,0.016846,0,0.000022,0.000914,0.12122,0.603162
3178,0,0,0.380958,0.594859,0,0,0,0.023856,0,0.00003,0,0.00029,0,0,0,0.000006
2940,3,0,0,0,0,0.999501,0,0,0.000001,0,0,0,0,0.000004,0.000495,0
3402,0,0.000004,0.000108,0.999786,0,0.000004,0,0.000001,0,0,0.000001,0,0.000002,0,0,0.000093
3475,1,0,0,0.000737,0,0,0.00191,0.996176,0,0.001172,0.000004,0,0,0,0,0
3191,12,0.000013,0,0,0.873692,0.000046,0.000003,0,0.000001,0,0.001078,0.009666,0.11475,0,0.000716,0.000035
3526,4,0.000004,0,0.000005,0,0,0,0,0,0,0,0,0,0,0,0.99999
2884,10,0.859572,0.001441,0.005193,0.000001,0.020538,0.006565,0.000037,0.003012,0.000519,0.00007,0.000009,0.029627,0.06522,0.001782,0.006415
2931,0,0.016325,0.002032,0.960093,0.000022,0.000018,0,0,0.000096,0,0.005055,0.000017,0.008022,0.005502,0.002815,0.000003
3379,10,0.999933,0.000019,0,0,0.000044,0,0,0,0,0,0,0,0.000004,0,0
3124,6,0,0.000002,0,0.000008,0,0.000031,0.017521,0,0,0.982419,0.000016,0.000003,0,0,0
3134,8,0.00031,0,0,0.000005,0,0,0.000002,0,0.999682,0,0,0,0,0,0
3150,1,0,0.000025,0.000003,0.000176,0,0.060065,0.939673,0,0.000046,0,0.000001,0,0.000011,0,0
2861,12,0.00035,0,0,0.895707,0.000001,0,0,0.001799,0.000206,0.000002,0.000611,0.072394,0.028921,0,0.000008
3392,9,0,0.586184,0.012668,0.175679,0,0,0.224375,0.000274,0.000043,0.000022,0.00001,0,0.000002,0.000218,0.000525
3339,2,0,0,0,0,0,0,0,0.999869,0.00013,0,0,0,0,0,0
3317,12,0.000057,0.000005,0.000049,0.524169,0.080605,0,0.000031,0.000788,0.000047,0.003205,0.000043,0.01681,0.302706,0.070169,0.001316
3541,1,0.001856,0,0.104898,0.000256,0,0.013046,0.782974,0,0.095429,0.001209,0.000001,0,0.000093,0,0.000238
2902,2,0.000097,0.000001,0,0,0,0,0,0.999901,0,0,0,0,0,0,0
3383,11,0.000015,0,0,0,0.000001,0,0,0.000072,0.000001,0.000001,0,0.99921,0.000001,0.000697,0.000001
2899,12,0,0,0,0.999951,0,0,0,0.000045,0.000001,0,0,0,0,0.000002,0
2853,12,0.000025,0.000013,0,0.947589,0,0,0.051653,0,0,0.000002,0.000695,0.000001,0.000006,0.000009,0.000006
3514,12,0,0,0,0.653378,0,0.000078,0.274297,0.000061,0.072184,0,0.000001,0,0,0,0
3288,9,0,0.999994,0,0,0,0,0,0,0,0,0,0,0,0,0.000006
3366,2,0,0,0,0,0,0.000004,0.013359,0.917118,0.000032,0.067234,0,0.002234,0.000014,0.000003,0.000001
3074,5,0,0.000001,0,0,0,0,0,0.000069,0,0.000006,0.001247,0.000001,0,0.998675,0
3547,5,0,0,0,0.000121,0,0,0,0,0.058811,0,0,0,0.000001,0.940441,0.000625
3168,12,0.290396,0,0,0.706722,0,0.000002,0.000022,0,0,0.00001,0,0,0.002847,0,0
2927,14,0,0.000022,0.000001,0.000137,0,0.000049,0.004867,0.009832,0.00003,0.000031,0.000118,0,0.984515,0,0.000397
2934,0,0.000001,0,0.420477,0,0.000009,0.008538,0.433778,0,0.137196,0,0,0.000001,0,0,0
3376,1,0,0,0,0.000037,0,0.000462,0.957257,0,0.000004,0,0.03071,0.01153,0,0,0
3003,12,0,0,0,0.860395,0,0.000002,0,0.000002,0,0.000026,0.000011,0.139563,0,0.000001,0
