@relation doc-subject

@attribute filename numeric
@attribute Subject0 numeric
@attribute Subject1 numeric
@attribute Subject2 numeric
@attribute Subject3 numeric
@attribute Subject4 numeric
@attribute Subject5 numeric
@attribute Subject6 numeric
@attribute Subject7 numeric
@attribute Subject8 numeric
@attribute Subject9 numeric
@attribute Subject10 numeric
@attribute Subject11 numeric
@attribute Subject12 numeric
@attribute Subject13 numeric
@attribute Subject14 numeric

@data
3568,0.083728,0.095499,0.064611,0.105216,0.007528,0.037411,0.116832,0.060888,0.028638,0.075987,0.080236,0.037296,0.058691,0.109298,0.038139
4767,0.081761,0.08878,0.108151,0.031768,0.055854,0.073027,0.076274,0.006503,0.059635,0.025129,0.118444,0.088154,0.040376,0.079496,0.066647
3945,0.024113,0.041767,0.111797,0.100878,0.097858,0.095925,0.033746,0.056575,0.02195,0.038855,0.095503,0.100808,0.07693,0.070035,0.03326
3586,0.144218,0.113217,0.118294,0.001429,0.044749,0.058325,0.092536,0.030837,0.051793,0.023288,0.029744,0.055867,0.13222,0.034288,0.069196
3831,0.056061,0.03205,0.097478,0.11001,0.083248,0.096105,0.052256,0.133113,0.024022,0.008395,0.082109,0.075334,0.090871,0.017755,0.041192
4796,0.090535,0.056357,0.040922,0.072977,0.076429,0.06831,0.050271,0.011991,0.058403,0.111205,0.156125,0.08142,0.078423,0.035726,0.010908
3655,0.112115,0.10084,0.080506,0.11211,0.056629,0.04759,0.082096,0.055724,0.079371,0.007703,0.046112,0.069909,0.020915,0.059035,0.069346
4079,0.110341,0.082944,0.05917,0.126958,0.029253,0.098334,0.030184,0.110204,0.035172,0.016264,0.058893,0.046687,0.125828,0.048867,0.020903
3628,0.049154,0.177114,0.036461,0.054882,0.017346,0.038368,0.130104,0.039089,0.068913,0.042501,0.056614,0.158742,0.112284,0.005418,0.013009
4570,0.043985,0.018471,0.211799,0.066265,0.018396,0.02642,0.035902,0.022696,0.045394,0.116458,0.078849,0.03722,0.185142,0.020322,0.072682
4466,0.042273,0.057782,0.050936,0.088881,0.036939,0.114568,0.048013,0.111111,0.040822,0.066265,0.102302,0.02068,0.057133,0.076014,0.086281
4727,0.008474,0.070797,0.025209,0.107741,0.095865,0.062189,0.153649,0.080987,0.058135,0.063482,0.020554,0.060718,0.048634,0.132303,0.011261
3592,0.05248,0.018071,0.032392,0.050635,0.027326,0.100128,0.120613,0.085181,0.059635,0.036058,0.106932,0.097554,0.062815,0.09254,0.057639
4418,0.067535,0.006547,0.090785,0.026853,0.095273,0.086888,0.131402,0.113688,0.014572,0.054541,0.011542,0.083504,0.065007,0.073268,0.078594
