@relation doc-subject

@attribute Subject0 numeric
@attribute Subject1 numeric
@attribute Subject2 numeric
@attribute Subject3 numeric
@attribute Subject4 numeric
@attribute Subject5 numeric
@attribute Subject6 numeric
@attribute Subject7 numeric
@attribute Subject8 numeric
@attribute Subject9 numeric
@attribute Subject10 numeric
@attribute Subject11 numeric
@attribute Subject12 numeric
@attribute Subject13 numeric
@attribute Subject14 numeric

@data
0,0,0,0,0.005174,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.016879,0,0,0,0
0,0,0,0,0,0,0,0,0,0.01566,0,0.004369,0,0,0
0,0,0,0.002533,0.027461,0,0,0,0,0.00243,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003209
0,0,0,0.006485,0,0,0,0,0,0,0,0.021229,0,0.009733,0
0,0,0,0,0,0,0,0,0,0,0.008732,0,0,0,0
0,0,0,0.050241,0,0,0,0,0,0.008682,0,0,0,0,0
0,0,0,0,0,0,0,0.012108,0,0,0,0,0,0,0
0.007614,0,0,0.025067,0,0,0.001626,0.003808,0,0.003619,0,0.005484,0.004454,0,0
0,0,0,0,0,0.000005,0.02673,0,0,0,0,0.002771,0,0.001117,0
0,0,0,0,0,0,0,0,0,0.010718,0.008034,0,0.007809,0,0
0.004035,0,0,0,0,0,0,0,0,0.061956,0,0.002808,0,0,0
0,0,0,0.039603,0,0,0,0,0,0,0,0,0,0.005788,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004328,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.004335,0,0,0.007927,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.006655,0.002429,0.000025,0,0,0,0,0,0.010472,0,0,0,0
0,0,0.010981,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.050599,0,0,0,0,0.007857,0,0,0,0,0.011225,0,0,0
0.044827,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.063112,0,0
0,0,0,0,0,0.004351,0.015869,0,0,0.005383,0,0,0,0,0
0,0,0,0,0,0.017814,0,0,0,0.003438,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.006956,0,0,0,0
0,0,0,0.030403,0,0,0.010473,0.00357,0,0,0,0,0,0.004418,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.035271,0,0,0,0,0,0,0,0,0,0.004085,0,0,0.001907
0.004186,0,0,0,0,0,0,0,0.004869,0,0,0,0,0,0.00228
0,0,0,0,0,0,0,0,0.010809,0,0,0,0.003885,0,0
0,0.002634,0,0,0,0,0,0,0,0.028683,0,0,0,0,0
0.003707,0.02859,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.003352,0,0,0,0,0
0,0,0,0.030005,0,0,0,0,0.003497,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.002157,0,0,0,0,0.046403
0,0,0,0,0,0.036039,0,0,0,0,0.004005,0,0,0,0
0,0,0,0,0,0,0,0,0.003915,0.00319,0,0,0.006239,0,0
0,0,0,0,0,0,0,0.010308,0,0,0.002218,0.000011,0,0.023037,0
0,0,0.005157,0,0,0,0,0,0,0,0.002673,0.018252,0,0,0
0,0.003367,0,0,0.032292,0,0,0.002331,0.000969,0,0.000456,0.002568,0,0,0
0,0,0.009427,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.007575,0.010419,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.002844,0,0,0,0,0.002867,0
0.012869,0,0,0,0,0,0,0,0,0.008047,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.003188,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.007721,0,0,0,0,0,0,0,0,0,0.002563,0,0,0
0.002065,0,0,0.002176,0.008972,0,0,0.028834,0,0,0,0,0.000001,0,0
0,0.016317,0,0,0.002559,0,0,0.000002,0,0,0,0,0,0,0.006387
0,0,0,0,0,0,0,0,0.002585,0,0,0,0,0,0
0,0,0.003678,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.017738,0,0,0,0,0,0,0.005715,0,0,0,0
0,0,0.037925,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.000213,0,0,0,0,0,0.012374,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.000005,0,0.04725,0,0,0,0.006309,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
