@relation doc-subject

@attribute Subject0 numeric
@attribute Subject1 numeric
@attribute Subject2 numeric
@attribute Subject3 numeric
@attribute Subject4 numeric
@attribute Subject5 numeric
@attribute Subject6 numeric
@attribute Subject7 numeric
@attribute Subject8 numeric
@attribute Subject9 numeric
@attribute Subject10 numeric
@attribute Subject11 numeric
@attribute Subject12 numeric
@attribute Subject13 numeric
@attribute Subject14 numeric

@data
0.000001,0,0.000018,0,0,0.000036,0.000022,0,0,0.001565,0.094192,0.903635,0.000252,0.000122,0.000155
0,0,0,0.987414,0.012463,0,0,0,0,0.000008,0,0,0,0.000085,0.000029
0.000006,0,0,0,0,0,0.014828,0,0.980299,0.004862,0,0,0.000004,0,0
0,0,0,0.02464,0,0,0.027445,0,0.707053,0.240862,0,0,0,0,0
0,0,0,0,0.010483,0.001963,0,0,0,0,0,0,0,0,0.987554
0.000003,0.000001,0,0.000001,0.000001,0,0.000004,0.999943,0,0,0,0.000005,0,0.000041,0
0,0.9994,0,0,0,0,0,0.000002,0,0,0,0.000004,0,0.000594,0
0.000875,0.000004,0.938169,0.000001,0.036607,0.000108,0,0,0.000319,0.006365,0.000031,0,0.006586,0,0.010934
0.059311,0,0.000015,0,0,0,0,0,0,0.000054,0.891671,0,0.048948,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.721401,0,0,0.00015,0,0,0.278323,0,0,0.000001,0,0,0.000124,0,0
0,0,0,0,0,0.999999,0,0,0,0,0,0,0,0.000001,0
0,0.000001,0.001251,0.000126,0.370733,0.030962,0,0.000001,0,0.267576,0,0.327518,0,0.001608,0.000224
0.000007,0.000406,0.001906,0.26648,0.301452,0.000101,0.010368,0.171982,0.189695,0.00003,0.000084,0,0.008419,0.000446,0.048625
0,0,0,0.000026,0.999925,0,0,0,0.000001,0.000044,0,0,0,0.000001,0.000003
0.794389,0,0.205609,0,0,0,0,0,0,0,0,0.000001,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0.378137,0.021171,0.000001,0.000001,0.370412,0,0,0.000019,0,0,0.230259
0,0.000037,0.00001,0.48351,0.000002,0,0.001015,0.446638,0,0.000063,0.039104,0,0.029094,0.000224,0.000303
0.00009,0,0,0.19892,0.012485,0.01189,0.024751,0.009914,0.536407,0.06858,0.018367,0,0.004447,0.000001,0.114149
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.000277,0,0,0,0,0,0,0,0.005446,0.994271,0.000002,0,0.000003,0,0
0,0.983678,0.000002,0,0.000639,0,0,0,0,0,0,0,0.015681,0,0
0,0,0,0,0,0,0.000002,0,0.999997,0.000001,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0.000051,0,0.000001,0.000191,0,0,0,0,0.000186,0.000002,0.000001,0.000003,0.99956,0.000005
0.976488,0,0,0,0,0,0,0,0,0,0,0,0.02351,0.000002,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.000748,0.06131,0.000421,0.042085,0.000072,0.002084,0.119061,0.051478,0.000003,0.022237,0.045028,0.037918,0.005228,0.585376,0.02695
0.000187,0.000003,0.076965,0.004928,0.904626,0.000037,0,0.000104,0.000001,0.000005,0,0.000006,0,0,0.013137
0,0,0,0,0.997809,0.000009,0,0,0,0,0.00003,0,0,0,0.002152
0,0,0.000003,0,0.012857,0.000004,0,0.015577,0,0,0.971552,0.000007,0,0.000001,0
0.000001,0.000006,0.001874,0.000181,0.002009,0.000169,0.943963,0.000012,0.006101,0.04149,0,0,0,0.000081,0.004113
0.549396,0,0.006425,0.000045,0.287053,0.000007,0.000001,0,0,0.152651,0,0,0.000267,0,0.004154
0.000167,0.111701,0,0.000007,0.000025,0,0,0.000002,0,0,0.005323,0,0.000189,0.882587,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.059611,0,0,0.000083,0.818291,0.107919,0.012362,0,0.000438,0.000001,0,0.001188,0.00001,0,0.000097
0.000005,0,0.043478,0,0.000199,0,0,0,0,0.956316,0,0,0,0,0.000001
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.000006,0,0,0,0,0.000008,0,0,0,0,0,0,0.999986,0,0
0.762353,0,0,0,0,0,0.000001,0,0.237242,0.000405,0,0,0,0,0
0,0,0,0.999698,0,0,0.000001,0,0,0,0,0,0,0,0.0003
0,0,0,0.032641,0.000494,0.033892,0.000699,0.000002,0.000005,0.000029,0.931971,0,0,0.000003,0.000265
0.151789,0,0,0.000037,0,0,0.062168,0,0.782269,0.000014,0,0,0.003723,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.000006,0,0.000002,0.016797,0,0.000755,0,0.000002,0,0.982385,0,0.000033,0.000009,0.000009,0
0,0,0,0,0.981079,0.001815,0,0,0.017105,0,0,0,0,0,0.000001
0,0,0.0395,0,0.000069,0,0,0,0,0.001375,0,0.000004,0.959053,0,0
0.000597,0.027101,0.038304,0.056139,0.022741,0,0.000031,0.034604,0.547309,0.191986,0,0.07339,0.00007,0.000008,0.00772
0,0.999844,0,0,0,0.00003,0,0,0,0,0,0,0,0.000125,0
0,0,0,0,0.015544,0.001016,0,0,0.98344,0,0,0,0,0,0
0.12432,0.000001,0.000005,0.072606,0.000054,0.000254,0.035865,0.000275,0.00289,0.018144,0.001602,0,0.000304,0.061922,0.681758
0,0,0,0,0,0,0.985693,0,0,0.000024,0,0,0.014282,0,0
0,0,0,0,0,0,0,0,0,0.990378,0,0.009622,0,0,0
0.958239,0,0,0,0,0,0.027477,0,0.001503,0,0.000006,0,0.012774,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0.002438,0.036881,0,0.036408,0.924218,0,0,0.000012,0,0,0,0.000042,0.000001
0,0.17162,0.633468,0.007862,0,0.000048,0.000026,0.060827,0,0.000009,0,0.047583,0,0.049574,0.028983
0.000019,0,0.000983,0.000012,0.042828,0.012204,0,0.009524,0.004093,0.000002,0.000001,0.000138,0,0.004107,0.92609
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0.003852,0,0.006441,0.000122,0,0.913026,0.031078,0,0.000025,0.008567,0.000026,0,0.036862,0
0,0,0,0.000007,0.000194,0,0.941849,0,0,0.000002,0,0.000001,0.000001,0,0.057946
0,0.86845,0.000001,0.001989,0.000576,0.000056,0,0.08607,0,0.000124,0.000001,0.042583,0,0.000151,0
0,0.018389,0,0,0.015827,0,0,0.016067,0,0.816726,0,0.00053,0,0.13246,0
0,0,0,0,0.000084,0,0.999916,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0.000004,0,0,0,0,0,0,0,0,0.000002,0,0,0.999994,0
0.000006,0,0.003742,0,0.000002,0,0,0,0.000002,0.000057,0.975893,0,0.020298,0,0.000001
0.000024,0,0,0.000002,0.007412,0,0,0,0,0,0,0,0.992562,0,0
0,0,0,0,0,0,0.998914,0,0.001086,0,0,0,0,0,0
0,0,0,0.000008,0,0,0,0,0.01672,0.020733,0.00001,0,0,0,0.962528
0.000028,0.080984,0.017945,0.000121,0.010942,0.002346,0.000013,0.616804,0.000173,0.001675,0.196665,0,0,0.000005,0.072299
0.000001,0,0,0,0,0,0,0,0.999996,0,0,0,0.000002,0,0
0,0.00666,0.000011,0,0.005324,0.000003,0,0,0,0,0.000005,0.000001,0.000011,0.947967,0.040019
0.001976,0,0,0,0,0,0.996585,0,0.001439,0,0,0,0,0,0
0,0.896882,0.000126,0,0.001287,0,0,0.004903,0.000017,0.000166,0.006905,0,0.008776,0.080939,0
0.000001,0,0,0.059144,0,0,0.648907,0,0.000027,0.291922,0,0,0,0,0
0.000003,0.000014,0.019352,0.000193,0.000093,0.000551,0.000028,0.001023,0.000026,0.020982,0.870785,0.000021,0,0.000009,0.086922
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.986082,0,0,0,0,0,0,0,0.013629,0.000289,0,0,0,0,0
0,0,0,0.000069,0.999597,0.000051,0,0.000009,0.000004,0.000135,0,0,0,0.000134,0
0,0.029835,0,0,0,0,0.923475,0,0,0,0,0,0,0.04669,0
0.000027,0.055687,0.000232,0.000002,0.017741,0.003015,0.00169,0.051241,0.000151,0,0.824228,0.042278,0,0.002288,0.001419
0,0.000005,0,0.000003,0.009115,0.000001,0.976487,0.011166,0,0.000013,0,0,0,0.003164,0.000044
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.00001,0.788686,0,0,0,0,0.069039,0,0.000002,0.039315,0,0,0.102949,0,0
0.00383,0.006146,0,0.757828,0.075774,0,0,0.00007,0.037337,0.003492,0.000056,0,0,0.008497,0.106971
0.000041,0,0,0,0,0,0,0,0,0.000001,0.000007,0,0.999938,0.000013,0
0.995385,0,0,0.000001,0,0,0,0,0.000091,0.00452,0,0,0.000003,0,0
0,0,0.985251,0,0.012981,0.000602,0,0,0,0,0.001137,0,0,0.000007,0.000022
0,0,0,0,0,0,0.000002,0,0,0.999997,0,0,0,0,0.000001
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.00004,0.117039,0.06386,0.000001,0.072079,0.540866,0,0.068841,0.000209,0.004334,0.001298,0.127543,0,0.000567,0.003323
